project	frequency
jboss-as-security	5
spring-data-gemfire	5
jnr-ffi	5
deltaspike-core-impl	5
arquillian-testenricher-initialcontext	5
androidannotations-api	5
lwc	5
json-schema-validator	5
richfaces-ui	5
neo4j-graphviz	5
protostuff-api	5
apache-source-release-assembly-descriptor	5
beansbinding	5
arquillian-drone-spi	5
bson4jackson	5
arquillian-jacoco	5
plexus-compiler-javac	5
sample-styled	5
memcached	5
aggregator	5
universal-image-loader	5
file	5
jboss-as-client	5
sample-fragments	5
xmltooling	5
surefire-junit4	5
geb-spock	5
testtools	5
imageio-ext-utilities	5
XmlSchema	5
derbynet	5
jboss-as-web	5
androidannotations	5
requestfactory-server	5
hibernate-search-orm	5
sample-known-bugs	5
Jama	5
solder-logging	5
tinybundles	5
gwtexporter	5
wicket-devutils	5
jai-codec	5
weld-core-bom	5
serial	5
cditest-owb	5
javolution	5
glazedlists_java15	5
jruby-engine	5
powermock-api-support	5
wishlist	5
xwork	5
spring-xml	5
thrift	5
gwt-bootstrap	5
http-builder	5
cxf-bundle-jaxrs	5
spring-test-mvc	5
surefire-booter	5
ecs	5
querydsl-sql	5
grails-docs	5
wiremock	5
dynmap-api	5
spring-boot-starter-web	5
google-oauth-client	5
barbecue	5
spring-boot-starter-test	5
juh	5
groovy-engine	5
secondstring	5
extensions	5
jspc-compiler-tomcat6	5
aether-transport-file	5
prettyfaces-jsf2	5
jcaptcha	5
google-http-client-jackson2	5
jsap	5
vijava	5
struts2-json-plugin	5
errai-bus	5
spring-security-oauth	5
neo4j-ha	5
java-diff	5
jmock-cglib	5
appengine-java-sdk	5
hector-test	5
proxytoys	5
mule-transport-file	5
pax-logging-api	5
jgoodies-looks	5
log	5
hornetq-server	5
antisamy	5
commons-daemon	5
gdata-core	5
pax-exam-container-native	5
dexmaker	5
ridl	5
openid4java-nodeps	5
jbosscache-core	5
prefuse	5
compass	5
icefaces	5
lucene-snowball	5
spring-integration-ftp	5
webjars-locator	5
tapestry-ioc	5
gwt-incubator	5
arquillian-config-api	5
camel-script	5
richfaces-root-parent	5
arquillian-drone-configuration	5
grails-gorm	5
token-macro	5
pentaho-platform-core	5
base64	5
arquillian-tomcat-embedded-7	5
jnp-client	5
osgi_R4_compendium	5
spring-data-commons-core	5
spring-osgi-extender	5
resteasy-cdi	5
jclouds-scriptbuilder	5
miglayout-swing	5
seam-faces	5
kettle-core	5
kaptcha	5
jboss-as-transactions	5
jackson-datatype-json-org	5
sample-roboguice	5
release	5
ojdbc5	5
apache-camel	5
jclouds-jsch	5
mysql	5
groovy-jsr223	5
gwtp-processors	5
log4j-slf4j-impl	5
solr-test-framework	5
cxf-rt-transports-local	5
org-openide-util-lookup	5
ooxml-schemas	5
picketlink-idm-api	5
jruby-rack	5
jboss-logging-log4j	5
arquillian-warp-bom	5
ij	5
pc-api	5
mavanagaiata	5
camel-stream	5
deployment-client	5
xmlschema-core	5
jalopy	5
camel-sql	5
start	5
krati	5
jbossas-managed-7	5
jide-common	4
pircbotx	4
root-pom	4
richfaces-api	4
website	4
shale-test	4
jdbm	4
mysql-connector-mxj	4
spring-security-core-tiger	4
vanilla	4
log4jdbc-remix	4
camel-http	4
hibernate-search-infinispan	4
jai-imageio-core-standalone	4
ant-antlr	4
plexus-velocity	4
gwtp-dispatch-client	4
libdocbundle	4
spout-api	4
sesame-rio-nquads	4
switchyard-component-bean	4
javawriter	4
jbpm-shared-services	4
antlr4-runtime	4
resteasy-jackson2-provider	4
jclouds-all	4
jbpm-docs	4
Essentials	4
flex-messaging-common	4
spring-boot-starter-data-jpa	4
jboss-deployers-vfs-spi	4
jboss-transaction-api	4
fuse-javadoc-skin	4
db2jcc4	4
mallet	4
jsr173	4
gherkin	4
jboss-corba-ots-spi	4
metrics-jvm	4
spring-integration-event	4
consumer	4
reactor	4
shrinkwrap-descriptors-bom	4
mule-transport-jms	4
uberfire-backend-server	4
parent-pom	4
spring-data-rest-webmvc	4
surefire-testng	4
google-play-services	4
markdownj-core	4
test-utils	4
org-openide-nodes	4
jnr-posix	4
mule-transport-http	4
hapi-base	4
bliki-core	4
xwiki-platform-activitystream-api	4
tomcat-dbcp	4
oauth-signature	4
gridlayout-v7	4
remoting	4
jbehave-spring	4
vaadin-client-compiler	4
spock-spring	4
jgraph	4
arquillian-tomcat-embedded-6	4
hector-object-mapper	4
arquillian-graphene	4
jboss-as-weld	4
wildfly-server	4
gunit	4
agorava-core-impl-cdi	4
spark-core	4
irclib	4
jutils	4
org-openide-windows	4
flex-messaging-core	4
syslog4j	4
staxmapper	4
sisu-guava	4
metrics-spring	4
jotm-core	4
blueprints-orient-graph	4
nuxeo-runtime-datasource	4
invokebinder	4
pentaho-xul-core	4
spring-plugin-core	4
xchange-core	4
ebean	4
war	4
TableLayout	4
jsr173-ri	4
resteasy-bom	4
lombok-pg	4
liferay-faces-alloy	4
parboiled-java	4
pentaho-platform-extensions	4
jersey-container-servlet-core	4
xwiki-platform-tool-packager-plugin	4
jbossws-api	4
oauth-httpclient3	4
libpam4j	4
htmlcompressor	4
shiro-guice	4
jbossxb	4
gmetric4j	4
infinispan-cachestore-leveldb	4
picketlink-jbas7	4
common-logging	4
test-core	4
cors-filter	4
archetypes	4
xchart	4
commons-primitives	4
leveldb	4
jackrabbit-webdav	4
nuxeo-common	4
xwiki-commons-configuration-api	4
JavaAPIforKml	4
sesame-queryalgebra-evaluation	4
itext-rtf	4
avro-compiler	4
requestfactory-apt	4
switchyard-extensions-java	4
hawtdispatch	4
esper	4
powermock-module-junit4-common	4
dist	4
cxf-rt-ws-mex	4
android-screenshot-celebrity	4
jogl	4
beam-core	4
cxf-testutils	4
jasperreports-fonts	4
org-netbeans-api-progress	4
camel-blueprint	4
hibernate-testing	4
juzu-core	4
jersey-atom	4
npn-api	4
sdk	4
path	4
protostuff-compiler	4
narya	4
neo4j-graph-algo	4
juzu-plugins-portlet	4
blueprints-rexster-graph	4
jodconverter	4
jenkins-core	4
metrics-healthchecks	4
jboss-classfilewriter	4
websocket-api	4
jibx-extras	4
updater	4
jsf-test-stage	4
jboss-deployers-vfs	4
jaxb2-fluent-api	4
guice-grapher	4
shrinkwrap-descriptors-api-base	4
narayana-jta	4
lettuce	4
picketlink-impl	4
child	4
rxjava-core	4
config-json	4
rewrite-integration-cdi	4
finally	4
wicket-util	4
jsr166y	4
JavaEOAccess	4
oauth-httpclient4	4
rawtypes	4
swt	4
bridj	4
JavaFoundation	4
encog-core	4
metrics-logback	4
sqlite4java	4
drools-docs	4
xwiki-rendering-macro-toc	4
axiom-dom	4
cometd-java-server	4
picketlink-idm-core	4
jbossas-remote-7	4
play	4
camel-twitter	4
xwiki-commons-pom	4
pentaho-platform-api	4
httpcore-osgi	4
hadoop-mapreduce-client-common	4
rspec	4
mockejb	4
arquillian-tomcat-managed-6	4
nuxeo-core-event	4
jide-oss	4
nuxeo-core-api	4
mule-module-ibeans	4
web-core	4
liferay-faces-portal	4
db2jcc_license_cu	4
libformat	4
lucene-join	4
vertx-platform	4
osmosis-core	4
test1	4
flume-core	4
container	4
javax-websocket-server-impl	4
pressgang-jdocbook-style	4
curator-client	4
ApacheJMeter_core	4
jetty-jndi	4
jade4j	4
jarbundler	4
jgraphx	4
guice-throwingproviders	4
webwork	4
jclouds-netty	4
resteasy-netty	4
google-api-services-plus	4
apacheds-protocol-ldap	4
menudrawer	4
jbossxacml	4
guava-collections	4
doxia-module-twiki	4
site	4
isoparser	4
evo-inflector	4
infinispan-commons	4
mule-module-management	4
sesame-sail-api	4
unitils-core	4
jersey-container-servlet	4
livetribe-jsr223	4
axis-ant	4
eureka-client	4
libvirt	4
cos	4
seam-persistence	4
shrinkwrap-descriptors-api-javaee	4
jbossorg-docbook-xslt	4
citrus-webx-all	4
wildfly-controller	4
xwiki-rendering-macro-message	4
vaadin-testbench	4
ant-apache-bsf	4
icefaces-ace	4
gdx-backend-android	4
libfb303	4
jackson-jaxrs-xml-provider	4
mule-module-sxc	4
xmemcached	4
ERExtensions	4
proxool	4
divzero	4
switchyard-remote	4
xwiki-platform-oldcore	4
empty	4
quartz-all	4
processing	4
xwiki-rendering-syntax-xwiki20	4
xwiki-rendering-macro-box	4
module	4
xml	4
jackrabbit-jcr-commons	4
axis2-kernel	4
simplecaptcha	4
chemistry-opencmis-server-bindings	4
hadoop-mapreduce-client-app	4
openmrs-test	4
neo4j-udc	4
gpars	4
jama	4
flume-ng-sdk	4
xwiki-commons-logging-logback	4
resteasy-spring	4
joni	4
thucydides-core	4
doxia-module-xhtml	4
spoutcraftplugin	4
minecraft-server	4
struts-taglib	4
beans	4
builder	4
xwiki-commons-context	4
jackcess	4
struts-core	4
mimepull	4
xapool	4
protostuff-collectionschema	4
jbpm-kie-services	4
spring-dao	4
springloaded	4
gdata-client	4
jbpm-executor	4
gt-arcgrid	4
geronimo-connector	4
ocpsoft-parent	4
ecore	4
xwiki-rendering-syntax-xhtml	4
libfonts	4
webservices-rt	4
org-openide-modules	4
pressgang-xslt	4
jotm	4
arquillian-testenricher-ejb	4
transactions-jdbc	4
sesame	4
errai-weld-integration	4
eventbus	4
gwtp-crawler	4
speed4j	4
spring-social-linkedin	4
repository-sail	4
org-openide-awt	4
promoted-builds	4
switchyard-api	4
shell	4
cxf-tools-common	4
support-v13	4
librepository	4
admob	4
org-netbeans-api-annotations-common	4
jldap	4
gwtp-all	4
jsr107cache	4
jibx-bind	4
jbpm-human-task-jpa	4
android-apt	4
reportng	4
istack-commons-runtime	4
jmagick	4
surefire-api	4
ocpsoft-pretty-time	4
ssh	4
cli	4
jooq	4
json-path-assert	4
errai-cdi-client	4
perfidix	4
gwt	4
arquillian-jbossas-remote-6	4
sigar-dist	4
nuxeo-runtime	4
neo4j-doctools	4
spring-messaging	4
vpp	4
openmrs-api	4
drools-api	4
protostuff-runtime	4
guice-jmx	4
unitils	4
BKCommonLib	4
nuxeo-core	4
neo4j-management	4
build-tools	4
abdera-client	4
xwiki-platform-annotation-io	4
org-netbeans-modules-options-api	4
switchyard-common	4
varargs	4
pentaho-reporting-engine-classic-core	4
jboss-kernel	4
preferences	4
olap4j	4
restito	4
camel-ognl	4
aspirin	4
flute	4
batik-gvt	4
mule-transport-jdbc	4
Towny	4
commons-chain	4
sqljdbc	4
sshd-pam	4
cucumber-reporting	4
dep-ann	4
hazelcast-client	4
hibernate-jdocbook-style	4
pax-web-jetty-bundle	4
mcMMO	4
xwiki-rendering-macro-id	4
application	4
cloud9	4
javascript	4
xwiki-commons-tool-xar-handlers	4
xwiki-rendering-api	4
artifactId	4
zip4j	4
arquillian-drone-selenium-server	4
jbpm-jpdl	4
Multiverse-Adventure	4
switchyard-test	4
orientdb-client	4
onebusaway-gtfs	4
batik-anim	4
animal-sniffer	4
cast	4
proguard	4
transport	4
JavaEWAH	4
spring-data-neo4j-aspects	4
cascading-local	4
jcaptcha-all	4
xmlbeans-xpath	4
jbehave-site-resources	4
sesame-queryresultio-sparqlxml	4
kettle-engine	4
htmlunit-client	4
xwiki-platform-rendering-wikimacro-store	4
handy-uri-templates	4
pentaho-metadata	4
pax-web-extender-war	4
nuxeo-core-query	4
script-api	4
instant-messaging	4
arquillian-drone-api	4
arquillian-tomee-embedded	4
miglayout-core	4
arquillian-warp-impl	4
openmrs-web	4
static	4
camel-netty	4
oauth-consumer	4
less4j	4
elasticsearch-test	4
ssh-credentials	4
jaxb	4
oozie-client	4
xwiki-rendering-syntax-xwiki21	4
equalsverifier	4
jcodings	4
try	4
jclouds-enterprise	4
hornetq-journal	4
jboss-as-distribution	4
xz	4
jaxb1-impl	4
xuggle-xuggler	4
handlebars	4
jai-imageio	4
jface	4
classfile	4
overrides	4
jolokia-client-java	4
mongodb	4
pax-logging-service	4
liferay-faces-bridge-impl	4
jurt	4
jobs	4
picketlink-api	4
jconsole	4
jaxb2-default-value	4
addons	4
orient-commons	4
ehcache-spring-annotations	4
contiperf	4
dashclock-api	4
swingx-all	4
spring-mobile-device	4
hazelcast-spring	4
libxml	4
libserializer	4
vault	4
blueprints-graph-jung	4
google-api-client-android	4
abdera-parser	4
javamelody-core	4
util-bridges	4
aesh	4
xwiki-rendering-macro-html	4
credentials	4
scala-reflect	4
pentaho-connections	4
annotations-api	4
transactions	4
pentaho-reporting-engine-wizard-core	4
webdriver-htmlunit	4
jbpm-human-task-audit	4
java-cup	4
juzu-plugins-less	4
mx4j-tools	4
orientdb-core	4
common-common	4
jboss-seam-debug	4
xwiki-rendering-syntax-plain	4
webdriver-support	4
Permissions	4
sesame-queryresultio-sparqljson	4
gt-jdbc-oracle	4
atmosphere-jersey	4
mule-module-xml	4
solr-cell	4
jersey-test-framework-grizzly	4
jdbc	4
doxia-module-docbook-simple	4
hadoop-distcp	4
documentation	4
switchyard-component-soap	4
leveldb-api	4
ns-resources	4
nutz	4
commons-juzu	3
dslv	3
xwiki-commons-properties	3
fongo	3
launch4j-plugin	3
nexus-indexer	3
camel-soap	3
zoie-jms	3
wildfly-embedded	3
oclc-harvester2	3
metrics-log4j	3
abdera-extensions-main	3
jose-jwt	3
openshift-java-client	3
jsonld-java	3
launch4j	3
eigenbase-xom	3
cargo-core-api-generic	3
liferay-faces-bridge-api	3
nuxeo-runtime-test	3
apache-mime4j-dom	3
jboss-seam-mail	3
build-info-api	3
switchyard-component-bpm	3
hive-hwi	3
seam-faces-api	3
spring-boot-starter	3
nuxeo-core-io	3
cvsclient	3
imageio-ext-png	3
primefaces-extensions	3
cxf-rt-bindings-object	3
popupbutton	3
beam-envisat-reader	3
glassfish	3
asynchbase	3
mule-module-mongo	3
xwiki-platform-wikistream-stream-xar	3
xwiki-platform-zipexplorer	3
switchyard-component-camel-file	3
jersey-grizzly	3
apacheds-server-annotations	3
i18n	3
faces-shade-transformers	3
jna-platform	3
jsr-275	3
DynmapCoreAPI	3
base64coder	3
castor-xml	3
umlgraph	3
contenttype	3
scalate-test	3
jsonpath	3
elasticsearch-mapper-attachments	3
geoserver-manager	3
imageio-ext-imagereadmt	3
social-component-core	3
jide-components	3
db2jcc	3
onebusaway-collections	3
zoie-core	3
errai-javaee-all	3
lingpipe	3
oracle	3
antlr4	3
xwiki-platform-url-standard	3
jetlang	3
resbuilder	3
showcase	3
kiji-schema	3
lucene-analyzers-phonetic	3
chef	3
nexus-plugin-api	3
ui	3
beam-gpf	3
jchardet	3
accumulo-core	3
jbpm-human-task	3
osmdroid-android	3
hive-anttasks	3
imageio-ext-streams	3
aviator	3
logback-gelf	3
JavaWebObjects	3
camel-josql	3
wagon-http-shared	3
xwiki-platform-rendering-macro-include	3
xwiki-rendering-transformation-macro	3
uberfire-workbench-processors	3
JavaEOControl	3
switchyard-component-common	3
neo4j-jmx	3
xwiki-platform-wikistream-instance-script	3
l2fprod-common-directorychooser	3
picketlink-idm-hibernate	3
errai-jboss-as-support	3
camel-spring-security	3
pax-exam-container-default	3
parent-central	3
doxia-site-renderer	3
shadow	3
hibernate-validator-cdi	3
splunk	3
person-directory-impl	3
oncrpc	3
xwiki-platform-security-bridge	3
sisu-inject-bean	3
proton-j-impl	3
smartsprites	3
pagerslidingtabstrip	3
jboss-aop	3
activemq-stomp	3
doxia-decoration-model	3
xwiki-commons-diff-script	3
xwiki-platform-panels-api	3
atmosphere-compat-tomcat7	3
imageio-ext-arcgrid	3
jboss-negotiation-spnego	3
switchyard-component-camel-ftp	3
ceres-glayer	3
resource-server-plugin	3
javacup	3
ceres-metadata	3
hibernate-hql-lucene	3
jackson-dataformat-csv	3
openxri-syntax	3
cloudfoundry-client-lib	3
arquillian-config-impl-base	3
sslr-core	3
errai-javax-enterprise	3
xwiki-platform-uiextension-api	3
xwiki-platform-watchlist-api	3
drools-workbench-models-datamodel-api	3
sshd	3
switchyard-component-camel-amqp	3
switchyard-component-http	3
xwiki-rendering-syntax-confluence	3
xwiki-rendering-syntax-xwiki10	3
beam-visat-rcp	3
spring-data-neo4j-rest	3
wildfly-naming	3
retroweaver	3
aether-transport-wagon	3
openwebbeans-spi	3
tomcat-embed-el	3
graphhopper	3
build-info-extractor	3
domain	3
jersey-atom-abdera	3
string	3
jabsorb	3
gt-jdbc-h2	3
macappbundle	3
jbpm-runtime-manager	3
coverity-escapers	3
jdepend	3
wildfly-arquillian-protocol-jmx	3
confluence-core	3
github	3
iogi	3
beam-ui	3
nuxeo-runtime-reload	3
android-pusher	3
camel-aws	3
docx4j	3
dbpool	3
log-manager	3
xwiki-platform-wiki-default	3
weld-build-config	3
js-engine	3
switchyard-config	3
liquibase-slf4j	3
xwiki-platform-rendering-macro-useravatar	3
uimaj-core	3
xwiki-platform-tool-jetty-resources	3
xwiki-rendering-syntax-annotatedxhtml	3
qpid-amqp-1-0-client-jms	3
pax-swissbox-tinybundles	3
xwiki-platform-administration-ui	3
wkb4j	3
admin	3
xwiki-platform-rendering-macro-velocity	3
camel-jmx	3
jboss-as-cli	3
uncommons-maths	3
camel-amqp	3
cloudfoundry-identity-common	3
json-rpc	3
entando-core-engine	3
switchyard-validate	3
richfaces-ui-output-ui	3
httpserver	3
enunciate-top	3
react	3
r7	3
bval-core	3
frames	3
grails-crud	3
nuxeo-platform-audit-api	3
jdk15	3
nuxeo-runtime-osgi	3
ceres-launcher	3
pentaho-reporting-engine-classic-extensions	3
stilts-stomp-client-js	3
argparse4j	3
gt-coveragetools	3
switchyard-component-camel-jms	3
jnr-constants	3
resteasy-atom-provider	3
social	3
uberfire-nio2-fs	3
twitter4j	3
jdtcore	3
slf4j	3
low-gc-membuffers	3
wstx-lgpl	3
undertow-websockets-jsr	3
gt-grid	3
switchyard-component-camel-sap	3
switchyard-component-camel-mail	3
modelmapper	3
jt-utils	3
eigenbase-properties	3
commons_lang	3
grizzly-comet	3
jira-core	3
pax-web-spi	3
jacc	3
richfaces-ui-iteration-ui	3
jung-io	3
playn-java	3
xwiki-platform-localization-source-legacy	3
xwiki-platform-csrf	3
gt-jdbc-sqlserver	3
tomcat-embed-websocket	3
gt-data	3
jbehave-web-runner	3
xmlbeans-jsr173-api	3
tomahawk	3
tooling	3
webapp-runner	3
playn-core	3
spring-security-aspects	3
jboss-test	3
osmosis-xml	3
slf4j-parent	3
arquillian-warp-api	3
switchyard-component-camel	3
confluence	3
chemistry-opencmis-commons-impl	3
xbean_xpath	3
cxf-rt-rs-security-oauth	3
xwiki-platform-classloader-xwiki	3
metrics-librato	3
soap-xmlbeans	3
switchyard-component-jca	3
richfaces-ui-core-ui	3
xwiki-platform-tag-api	3
lesscss-engine	3
crowd-integration-client-rest	3
mysema-source	3
liferay-faces-util	3
errai-ui	3
remoting-jmx	3
camel-rss	3
bootswatch	3
rrd4j	3
hbase-common	3
rest-api	3
gt-process	3
seam-security-api	3
jsonld-java-sesame	3
openwebbeans-impl	3
jbpm-test	3
jmh-core	3
solr-commons-csv	3
enunciate-rt	3
retroweaver-rt	3
smppapi	3
tape	3
slf4j_api	3
vaadin-push	3
chemistry-opencmis-server-support	3
xwiki-platform-wiki-script	3
gwt-visualization	3
mahout-examples	3
nuxeo-core-storage-sql-management	3
arquillian-transaction-bom	3
shrinkwrap-descriptors-impl	3
jolokia-jvm	3
xwiki-platform-localization-macro	3
akka-actor	3
xmlbeans-xmlpublic	3
websocket-client	3
jboss-metadata-common	3
ftplet-api	3
crm	3
haml	3
abdera-server	3
Java-WebSocket	3
ibatis	3
simple-project	3
xwiki-platform-classloader-protocol-attachmentjar	3
uberfire-api	3
authentication	3
jboss-seam-excel	3
sesame-queryresultio-api	3
gov-sandia-cognition-common-core	3
commands	3
trace-token	3
gt-imageio-ext-gdal	3
bukkit-permissions	3
security	3
orientdb-enterprise	3
wildfly-arquillian-common	3
jbpm-human-task-workitems	3
pngj	3
lucene-analyzers-icu	3
mahout-collections	3
switchyard-runtime	3
gt-xsd-sld	3
jackson-datatype-hibernate4	3
jira-rest-java-client	3
uberfire-backend-api	3
switchyard-component-camel-netty	3
commons-collections4	3
sesame-query	3
jide-action	3
facebook	3
spring-instrument-tomcat	3
xwiki-platform-search-solr-query	3
jersey-test-framework	3
spring-hibernate3	3
sonar-surefire-plugin	3
lib-hdf	3
onebusaway	3
axon-core	3
dependencies	3
camel-servlet	3
camel-hazelcast	3
leveldbjni-all	3
neo4j-spatial	3
arquillian-drone-selenium	3
ERDirectToWeb	3
hibernate-ogm-core	3
bcmail-jdk16	3
xwiki-commons-component-observation	3
osgi-over-slf4j	3
spring-integration-groovy	3
clipboard	3
extensions-parent	3
metrics-jdbi	3
lucene-analyzers-smartcn	3
javadbf	3
spring-osgi-test	3
hadoop-mapreduce-client-shuffle	3
tempus-fugit	3
jzmq	3
gt-xsd-kml	3
joor	3
org-openide-explorer	3
switchyard-component-camel-quartz	3
xwiki-platform-wiki-template-default	3
spring-ldap-ldif-batch	3
bugsense	3
jaxws-spring	3
scala	3
json_simple	3
xwiki-commons-extension-handler-jar	3
ceres-binding	3
fuse-jxr-skin	3
ironjacamar-core-api	3
xwiki-platform-localization-script	3
dcm4che-net	3
linked-data-sail	3
xwiki-rendering-syntax-doxia	3
xwiki-platform-captcha	3
xwiki-platform-extension-distribution	3
nuxeo-core-convert	3
jclouds-apachehc	3
omnifaces	3
richfaces-ui-validator-ui	3
blueprints-sparksee-graph	3
xwiki-platform-skin-skinx	3
gdata-client-meta	3
ceres-binio	3
carrot2-core	3
cxf-rt-features-clustering	3
widgets	3
jxls-core	3
wicket-velocity	3
ejbs	3
xchange-btce	3
xwiki-rendering-syntax-html	3
arquillian-phantom-driver	3
gt-jdbc	3
jboss-dependency	3
vorbis-java-core	3
xwiki-platform-wiki-user-script	3
boot	3
gosu-core-api	3
cdi	3
xwiki-platform-rendering-macro-container	3
simplenbt	3
caja	3
spring-integration-amqp	3
jboss-logging-tools	3
switchyard-component-test-mixin-http	3
rocket	3
jbpm-audit	3
extension	3
xwiki-platform-search-solr-api	3
maxent	3
cloudfoundry-runtime	3
camel-bindy	3
ejml	3
jide-grids	3
fop-hyph	3
xwiki-platform-colibri	3
resource-server-utils	3
portals-bridges-common	3
openjpa-all	3
richfaces-ui-misc-ui	3
nuxeo-runtime-jtajca	3
agorava-bom	3
warnings	3
weld-parent	3
xwiki-platform-scheduler-api	3
ERAttributeExtension	3
sdb	3
nuxeo-platform-ui-web	3
xwiki-platform-extension-script	3
kettle-ui-swt	3
xwiki-commons-repository-api	3
sonar	3
calculator	3
spring-social-facebook-web	3
jboss-javaee	3
milyn-smooks-all	3
xwiki-platform-rest-server	3
groovy-all-minimal	3
switchyard-deploy	3
atmosphere-annotations	3
LogBlock	3
fest	3
arquillian-test-api	3
guvnor-project-backend	3
errai-data-binding	3
spring-ws-security	3
jcalendar	3
arquillian-glassfish-remote-3	3
bundle	3
jeromq	3
gt-jdbc-spatialite	3
heritrix-commons	3
nuxeo-core-storage-sql	3
jkeymaster	3
truth	3
cglib-full	3
mongo-jackson-mapper	3
hornetq-ra	3
jboss-interceptor-api	3
